                Call  Number of calls made  Percentage of total calls
            mprotect                 27294         25.6365941859
                poll                 22710         21.3309538346
             recvmsg                 20417         19.1771943831
               futex                 12704         11.9325599962
                read                  4459           4.188230874
             madvise                  3768         3.53919128352
               write                  3674          3.4508993566
              writev                  3630         3.40957122059
           getrusage                  1999         1.87761236087
                stat                  1261         1.18442680693
                mmap                   812        0.762691964495
                open                   767         0.72042455267
               close                   492        0.462123702625
              access                   449        0.421734842436
               lseek                   435         0.40858498098
               fstat                   372        0.349410604424
               fcntl                   318        0.298689710233
              munmap                   117        0.109895270746
               lstat                   103       0.0967454092894
               fsync                    58        0.054477997464
               clone                    51       0.0479030667355
               mkdir                    46       0.0432066876438
        rt_sigaction                    43       0.0403888601888
            getdents                    42       0.0394495843705
             geteuid                    37       0.0347532052787
               uname                    31       0.0291175503687
              unlink                    29        0.027238998732
                 dup                    28       0.0262997229136
            recvfrom                    26       0.0244211712769
           getrandom                    25       0.0234818954586
              getuid                    22       0.0206640680036
              select                    20       0.0187855163669
              getgid                    18       0.0169069647302
             getegid                    18       0.0169069647302
           readahead                    12       0.0112713098201
          socketpair                     9       0.0084534823651
              signal                     8      0.00751420654675
             connect                     8      0.00751420654675
              socket                     8      0.00751420654675
             fstatfs                     8      0.00751420654675
   inotify_add_watch                     7      0.00657493072841
             sysinfo                     7      0.00657493072841
          setsockopt                     7      0.00657493072841
              statfs                     7      0.00657493072841
              rename                     7      0.00657493072841
                pipe                     7      0.00657493072841
      rt_sigprocmask                     6      0.00563565491006
           ftruncate                     5      0.00469637909172
               umask                     4      0.00375710327338
                 brk                     4      0.00375710327338
               wait4                     4      0.00375710327338
           getresgid                     3      0.00281782745503
            eventfd2                     3      0.00281782745503
           getresuid                     3      0.00281782745503
         getsockname                     3      0.00281782745503
         getpeername                     3      0.00281782745503
            readlink                     3      0.00281782745503
               chmod                     3      0.00281782745503
         getpriority                     3      0.00281782745503
            quotactl                     3      0.00281782745503
         setpriority                     3      0.00281782745503
           getrlimit                     3      0.00281782745503
          arch_prctl                     2      0.00187855163669
               utime                     2      0.00187855163669
              gettid                     2      0.00187855163669
              sendto                     2      0.00187855163669
         sigaltstack                     2      0.00187855163669
             symlink                     2      0.00187855163669
           fallocate                     2      0.00187855163669
              execve                     2      0.00187855163669
               ioctl                     2      0.00187855163669
--- SIGINT {si_signo=SIGINT, si_code=SI_TKILL, si_pid=7733, si_uid=1002} ---
                     1     0.000939275818344
        clock_getres                     1     0.000939275818344
   sched_getaffinity                     1     0.000939275818344
              getpid                     1     0.000939275818344
             getppid                     1     0.000939275818344
             seccomp                     1     0.000939275818344
             unshare                     1     0.000939275818344
              getcwd                     1     0.000939275818344
            pwrite64                     1     0.000939275818344
+++ killed by SIGINT +++
                     1     0.000939275818344
            shutdown                     1     0.000939275818344
           faccessat                     1     0.000939275818344
               rmdir                     1     0.000939275818344
--- SIGINT {si_signo=SIGINT, si_code=SI_KERNEL} ---
                     1     0.000939275818344
           fadvise64                     1     0.000939275818344
     set_robust_list                     1     0.000939275818344
       inotify_init1                     1     0.000939275818344
               prctl                     1     0.000939275818344
              tgkill                     1     0.000939275818344
     set_tid_address                     1     0.000939275818344
        rt_sigreturn                     1     0.000939275818344
