                Call  Number of calls made  Percentage of total calls
      rt_sigprocmask                   953         13.7955993052
                read                   902         13.0573248408
               write                   666         9.64099594673
               fcntl                   610         8.83034163289
               close                   595         8.61320208454
                 brk                   557         8.06311522872
                stat                   295         4.27041111754
                dup2                   265         3.83613202085
               ioctl                   226         3.27156919514
                open                   210          3.0399536769
              signal                   209         3.02547770701
        rt_sigaction                   208         3.01100173712
            getdents                   148         2.14244354372
               wait4                   142         2.05558772438
                pipe                   131         1.89635205559
               fstat                   106         1.53445280834
           faccessat                    84         1.21598147076
              access                    75         1.08569774175
        rt_sigreturn                    71         1.02779386219
             setpgid                    69        0.998841922409
              getgid                    65        0.940938042849
             geteuid                    65        0.940938042849
             getegid                    65        0.940938042849
              getuid                    65        0.940938042849
               lseek                    40        0.579038795599
                mmap                    28         0.40532715692
            mprotect                    16         0.23161551824
              unlink                    12         0.17371163868
               lstat                     9         0.13028372901
              munmap                     4       0.0579038795599
             connect                     2         0.02895193978
           getrlimit                     2         0.02895193978
              socket                     2         0.02895193978
               uname                     1         0.01447596989
          arch_prctl                     1         0.01447596989
              getpid                     1         0.01447596989
                 dup                     1         0.01447596989
             getppid                     1         0.01447596989
          exit_group                     1         0.01447596989
             getpgrp                     1         0.01447596989
             sysinfo                     1         0.01447596989
+++ exited with 0 +++
                     1         0.01447596989
              execve                     1         0.01447596989
              statfs                     1         0.01447596989
